,First,Second,Third
14,"(60, ('2018 RAM 1500 ST', 'GMC Sierra 1500 SLT'))","(62, ('2018 RAM 1500 ST', 'Dodge Ram 1500 SLT'))","(64, ('2018 RAM 1500 ST', 'Dodge Ram 1500 ST'))"
15,"(74, ('2018 Toyota Prius Four Touring', 'Toyota Prius C Two'))","(77, ('2018 Toyota Prius Four Touring', 'Toyota Prius C Four'))","(81, ('2018 Toyota Prius Four Touring', 'Toyota Prius Four'))"
16,"(67, ('2018 Volvo V90 Cross Country T5', 'Volvo V90 T6 X-Country Momentum'))","(67, ('2018 Volvo V90 Cross Country T5', 'Volvo V90 T6 X-Country Ocean Ra'))","(71, ('2018 Volvo V90 Cross Country T5', 'Volvo V60 T5 X-Country'))"
17,"(71, ('2019 Acura ILX Base', 'Acura RLX Advance'))","(71, ('2019 Acura ILX Base', 'Acura RLX Tech'))","(71, ('2019 Acura ILX Base', 'Acura TLX Advance'))"
18,"(62, ('2019 Acura ILX Technology Package', 'Acura RLX Tech'))","(64, ('2019 Acura ILX Technology Package', 'Acura MDX Advance Package'))","(65, ('2019 Acura ILX Technology Package', 'Acura RDX Adv Package'))"
19,"(81, ('2019 Alfa Romeo Giulia Base', 'Alfa-Romeo Giulia Q4'))","(81, ('2019 Alfa Romeo Giulia Base', 'Alfa-Romeo Giulia TI'))","(82, ('2019 Alfa Romeo Giulia Base', 'Alfa-Romeo Giulia'))"
20,"(82, ('2019 Alfa Romeo Stelvio Base', 'Alfa-Romeo Stelvio Q4'))","(82, ('2019 Alfa Romeo Stelvio Base', 'Alfa-Romeo Stelvio TI'))","(83, ('2019 Alfa Romeo Stelvio Base', 'Alfa-Romeo Stelvio'))"
21,"(86, ('2019 Alfa Romeo Stelvio Ti', 'Alfa-Romeo Stelvio Q4'))","(87, ('2019 Alfa Romeo Stelvio Ti', 'Alfa-Romeo Stelvio'))","(90, ('2019 Alfa Romeo Stelvio Ti', 'Alfa-Romeo Stelvio TI'))"
22,"(79, ('2019 Audi A5 2.0T Premium quattro', 'Audi A6 2.0T Premium Plus'))","(79, ('2019 Audi A5 2.0T Premium quattro', 'Audi Q5 2.0T Premium'))","(79, ('2019 Audi A5 2.0T Premium quattro', 'Audi Q5 2.0T Premium Plus'))"
23,"(95, ('2019 Audi A5 2.0T Prestige', 'Audi A3 2.0T Prestige'))","(95, ('2019 Audi A5 2.0T Prestige', 'Audi A4 2.0T Prestige'))","(95, ('2019 Audi A5 2.0T Prestige', 'Audi Q5 2.0T Prestige'))"
