name,price,city_mpg,highway_mpg
2019 Chevrolet Sonic LT,16232.142857142857,26.857142857142858,37.57142857142857
2019 Chevrolet Spark 1LT,13829.6,29.0,38.0
2019 Chevrolet Spark 2LT,15984.5,29.0,38.0
2019 Chevrolet Spark ACTIV,17731.666666666668,29.0,37.0
2019 Chevrolet Spark LS,13286.777777777777,29.0,38.0
2019 Chevrolet Suburban Premier,66840.0,14.0,21.0
2019 Chevrolet Tahoe Premier,60431.0,15.0,22.0
2019 Chevrolet Traverse High Country,46578.0,17.0,25.0
2019 Chevrolet Traverse LT Cloth,34829.0,17.0,25.0
2019 Chevrolet Trax LS,18829.875,24.0,29.0
2019 Chevrolet Trax LT,22843.666666666668,26.0,31.0
2019 Chevrolet Work Van,47515.333333333336,0.0,0.0
2019 Chrysler 300 Limited,43135.0,19.0,30.0
2019 Chrysler 300 S,36677.333333333336,19.0,30.0
2019 Chrysler 300 Touring,27036.0,19.0,30.0
2019 Chrysler Pacifica Touring-L,36339.0,19.0,28.0
2019 Dodge Charger Scat Pack,45725.0,15.0,24.0
2019 Dodge Grand Caravan SE,24715.0,17.0,25.0
2019 Dodge Journey Crossroad,23475.6875,16.0,24.0
2019 Dodge Journey GT,28308.625,16.0,24.0
2019 Dodge Journey R/T,27044.0,0.0,0.0
2019 Dodge Journey SE,20133.333333333332,19.0,25.0
2019 Dodge Journey SE Value Package,17783.583333333332,19.0,25.0
2019 Dodge Limited,68564.0,0.0,0.0
2019 FIAT 500 Pop,15018.307692307691,28.0,33.0
2019 FIAT 500X Pop,23230.0,24.0,30.0
2019 Ford Base,25752.0,0.0,0.0
2019 Ford EcoSport SES,21941.0,23.0,29.0
2019 Ford EcoSport Titanium,25396.0,27.0,29.0
2019 Ford Edge SE,27535.0,22.0,29.0
2019 Ford Edge SEL,35906.666666666664,21.0,28.0
2019 Ford Edge ST,45984.5,19.0,26.0
2019 Ford Edge Titanium,32542.0,22.0,29.0
2019 Ford Escape S,18374.0,21.0,29.0
2019 Ford Escape SE,24026.0,22.0,28.0
2019 Ford Escape SEL,29547.75,23.0,30.0
2019 Ford Escape Titanium,29186.0,21.0,27.0
2019 Ford Expedition Limited,70509.5,17.0,24.0
2019 Ford Expedition Max XLT,49770.0,16.0,21.0
2019 Ford Expedition Platinum,70742.66666666667,17.0,22.0
2019 Ford Expedition XLT,51019.5,17.0,22.0
2019 Ford F-150 King Ranch,59536.166666666664,16.0,22.0
2019 Ford F-150 LARIAT,48479.5,20.0,26.0
2019 Ford F-150 Lariat,52868.944444444445,20.0,26.0
2019 Ford F-150 Limited,64782.0,17.0,22.0
2019 Ford F-150 Platinum,58118.153846153844,16.0,22.0
2019 Ford F-150 Raptor,75950.0,15.0,18.0
2019 Ford F-150 XL,35734.57692307692,18.923076923076923,24.846153846153847
2019 Ford F-150 XLT,39905.1067961165,18.014563106796118,23.02912621359223
2019 Ford F-250 King Ranch,74475.5,0.0,0.0
2019 Ford F-250 Lariat,70236.8,0.0,0.0
2019 Ford F-250 Platinum,76123.0,0.0,0.0
2019 Ford F-250 XL,39943.333333333336,0.0,0.0
2019 Ford F-250 XLT,49152.2,0.0,0.0
2019 Ford F-350 KNAPHEIDE,47995.0,0.0,0.0
2019 Ford F-350 King Ranch,74922.0,0.0,0.0
2019 Ford F-350 Lariat,70042.0,0.0,0.0
2019 Ford F-350 Lariat Super Duty,75685.0,0.0,0.0
2019 Ford F-350 Platinum,76352.0,0.0,0.0
2019 Ford F-350 XL,52736.0,0.0,0.0
2019 Ford F-350 XLT,60123.0,0.0,0.0
2019 Ford F-450 XL,50238.0,0.0,0.0
2019 Ford Fiesta ST Line,17437.0,27.0,35.0
2019 Ford Flex Limited w/EcoBoost,43629.0,15.0,21.0
2019 Ford Flex SEL,31655.0,16.0,22.0
2019 Ford Fusion Energi Titanium,31390.0,0.0,0.0
2019 Ford Fusion Hybrid SE,27010.5,43.0,41.0
2019 Ford Fusion S,21037.333333333332,21.0,31.0
2019 Ford Fusion SE,20662.5,23.0,34.0
2019 Ford Fusion Titanium,29313.0,21.0,31.0
2019 Ford Mustang Bullitt,50475.0,15.0,24.0
2019 Ford Mustang EcoBoost,26351.0,21.0,31.0
2019 Ford Mustang EcoBoost Premium,29454.0,21.0,31.0
2019 Ford Ranger LARIAT,43292.0,20.0,24.0
2019 Ford Ranger Lariat,41531.125,20.0,24.0
2019 Ford Ranger STX,26765.0,0.0,0.0
2019 Ford Ranger XL,29358.0,21.0,26.0
2019 Ford Ranger XLT,31610.04761904762,20.904761904761905,25.80952380952381
2019 Ford Transit Connect XL,23815.428571428572,24.0,27.0
2019 Ford Transit Connect XLT,28729.85714285714,6.857142857142857,7.714285714285714
2019 Ford Transit-150 Base,32302.0,0.0,0.0
2019 Ford Transit-250 130 WB Medium Roof Cargo,33735.0,0.0,0.0
2019 Ford Transit-250 148 WB Medium Roof Cargo,34679.75,0.0,0.0
2019 Ford Transit-250 Base,30956.5,0.0,0.0
2019 Ford Transit-350 XL,44139.0,0.0,0.0
2019 Ford XL,22052.0,0.0,0.0
2019 Ford XLT,22865.0,0.0,0.0
2019 GMC Acadia SLE-1,29728.666666666668,21.0,25.0
2019 GMC Acadia SLT-1,34789.0,21.0,26.0
2019 GMC Acadia SLT-2,45949.0,17.0,25.0
2019 GMC Canyon SLE,34207.0,17.0,24.0
2019 GMC Sierra 1500 Denali,55369.53846153846,15.0,21.0
2019 GMC Sierra 1500 Limited SLE,39675.0,16.0,23.0
2019 GMC Sierra 1500 SLE,46364.25,14.25,16.5
2019 GMC Sierra 1500 SLT,49236.25,17.0,23.0
2019 GMC Sierra 2500 SLT,60660.0,0.0,0.0
2019 GMC Terrain Denali,35981.0,22.0,28.0
2019 GMC Work Van,32505.25,0.0,0.0
2019 Genesis G80 3.3T Sport,56585.0,17.0,25.0
2019 Genesis G80 3.8,54675.0,18.0,24.0
2019 Honda Accord EX,28550.0,30.0,38.0
2019 Honda Accord EX-L 2.0T,32540.0,23.0,34.0
2019 Honda Accord Hybrid,26243.333333333332,0.0,0.0
2019 Honda Accord Hybrid EX,29523.75,48.0,48.0
2019 Honda Accord Hybrid EX-L,30986.5,48.0,48.0
2019 Honda Accord Hybrid Touring,34464.5,48.0,48.0
2019 Honda Accord LX,24647.5,30.0,38.0
2019 Honda Accord Sport,25708.30769230769,26.0,35.0
2019 Honda Accord Sport 1.5T,26364.666666666668,26.0,35.0
2019 Honda Accord Sport 2.0T,31640.0,22.0,32.0
2019 Honda Accord Touring 2.0T,36880.0,22.0,32.0
2019 Honda CR-V EX,28715.46153846154,28.0,34.0
2019 Honda CR-V EX-L,31352.333333333332,27.0,33.0
2019 Honda CR-V LX,26945.0,25.0,31.0
2019 Honda Civic EX,23161.0,32.0,42.0
2019 Honda Civic EX-L,24600.0,32.0,42.0
2019 Honda Civic EX-L Navi,27170.0,31.0,40.0
2019 Honda Civic LX,20552.133333333335,25.666666666666668,36.266666666666666
